location_name	top_category	latitude	longitude
Poblano Cafe,Restaurants and Other Eating Places,40.93393,-73.898319
China House,Restaurants and Other Eating Places,40.939526,-73.888473
New China Chinese Restaurant,Restaurants and Other Eating Places,40.913685,-73.856768
Daily Moos,Restaurants and Other Eating Places,41.289538,-73.837802
Taco Mex Yonkers,Restaurants and Other Eating Places,40.929209,-73.895257
Faith Christian Academy,Child Day Care Services,40.882544,-73.848846
RT Smoke N Gun Shop,Sporting Goods, Hobby, and Musical Instrument Stores,40.910841,-73.839055
Greenway Shopping Center,Lessors of Real Estate,40.932896,-73.901146
Tri County Office Furniture,Office Supplies, Stationery, and Gift Stores,40.895554,-73.825481
Port Chester Farmers Market,Specialty Food Stores,41.005846,-73.658828
Arawak Jamaican Restaurant,Restaurants and Other Eating Places,40.891509,-73.858147
Asi Es Colombia Bakery,Restaurants and Other Eating Places,41.004175,-73.66057
Redmond Park,Museums, Historical Sites, and Similar Institutions,40.938314,-73.867634
Lois Campbell & Yates Day Care,Child Day Care Services,40.889145,-73.856053
Jimmy's Pizza,Restaurants and Other Eating Places,40.957083,-73.738396
Faithy's Kitchen,Restaurants and Other Eating Places,40.889502,-73.831521
United transmission,Automotive Repair and Maintenance,40.995911,-73.673956
R G Minimarket,Grocery Stores,41.000381,-73.670293
Cerbone's Bakery,Restaurants and Other Eating Places,41.002697,-73.682391
Top Cuts Hair Salon,Personal Care Services,40.916272,-73.837778
La Papusa Loca,Restaurants and Other Eating Places,41.001793,-73.665913
S H Laufer Vision World,Health and Personal Care Stores,41.225622,-73.71418
Golden Ring,Restaurants and Other Eating Places,40.896676,-73.855225
Westcop Toddlers Park,Child Day Care Services,40.90472,-73.834652
Lyon Park Deli,Restaurants and Other Eating Places,41.013105,-73.659582
Public Storage,Lessors of Real Estate,40.968839,-73.869693
Weight Watchers,Personal Care Services,40.952523,-73.727266
Foremost Refinishers,Sporting Goods, Hobby, and Musical Instrument Stores,40.941082,-73.883462
Las Brisas Restaurante,Restaurants and Other Eating Places,41.002583,-73.66706
Pizza Place,Restaurants and Other Eating Places,40.889077,-73.859531
All In One Motorsports,Automotive Repair and Maintenance,40.94666,-73.877655
Raceway Wine & Liquor,Beer, Wine, and Liquor Stores,40.923053,-73.864014
ALDO,Shoe Stores,40.863819,-73.82751
Pasquale Restaurant,Restaurants and Other Eating Places,41.011614,-73.656225
Diner Brew,Restaurants and Other Eating Places,40.908407,-73.849745
Board of Education,Child Day Care Services,40.941526,-73.743486
Village Kitchen,Restaurants and Other Eating Places,40.954142,-73.739459
The Vitamin Shoppe,Health and Personal Care Stores,40.978704,-73.83123
Suzette Lingerie & Hosiery,Clothing Stores,40.927755,-73.852804
Little Kitchen,Restaurants and Other Eating Places,40.949629,-73.733076
Church of the Holy Spirit Rctry,Religious Organizations,41.29181,-73.896522
Billy Beez,Museums, Historical Sites, and Similar Institutions,40.864417,-73.827939
Lucy Auto Driving School,Used Merchandise Stores,40.953338,-73.851437
Connolly's Tae Kwon DO,Other Amusement and Recreation Industries,41.298708,-73.888399
McDonald's,Restaurants and Other Eating Places,40.892772,-73.857416
Frank Webb Home,Home Furnishings Stores,40.960788,-73.737088
Healthy Massage Yonkers,Personal Care Services,40.981633,-73.830167
Ron's Auto Body & Repairs,Automotive Repair and Maintenance,40.899041,-73.821201
Dougie's Standby,Restaurants and Other Eating Places,41.012426,-73.65584
Oshima Japanese and Tex Mex Express,Restaurants and Other Eating Places,40.903497,-73.866163
Bronx Bethany Afterschool Program,Child Day Care Services,40.886828,-73.851229
Blum Center For Health,Other Amusement and Recreation Industries,41.003459,-73.684668
Northeast Oyster,Restaurants and Other Eating Places,40.952212,-73.739045
Margherite Torregiani,Health and Personal Care Stores,40.952703,-73.725722
Mt Vernon Shooting Center,General Merchandise Stores, including Warehouse Clubs and Supercenters,40.915294,-73.837736
Weight Watchers,Personal Care Services,40.85888,-73.856561
Little Learners Of Westchester Inc,Child Day Care Services,41.28935,-73.838465
Napoleon John Hair Salon,Personal Care Services,40.865332,-73.860054
Deleon Mich Auto Sales,Automobile Dealers,40.967782,-73.869066
