occupation	latitude	longitude	zipcode
Il_Sogno_Ristorante	B	40.995484	-73.673078	10573

Trang_D_Nguyen_DMD_PC	A	40.916526	-73.856455	10704

Kleinman_Plastic_Surgery	A	41.006566	-73.689975	10573

ANDY'S_Taco_Japanese_and_Mexican_food	B	40.86433	-73.822739	10475

Divas_Salon_Spa	B	40.915892	-73.83766	10550

Spiritoso_Ristorante	B	40.906925	-73.872197	10704

Heather_A_Erhard_M_D_F_A_C_S	A	40.861769	-73.843761	10469

Dip_In_Car_Wash	D	40.955971	-73.738946	10543

Santa_Fe_Flower_Shop	C	41.002674	-73.664317	10573

Goose_Bay_Iv	A	40.877953	-73.832992	10475

Joseph_P_Lombardi_Ameriprise_Financial_Services	B	41.006412	-73.690247	10573

Poultry_Supply_Store	C	41.292515	-73.880247	10567

2471_Grocery	C	40.901099	-73.836923	10550

Boost_Mobile	C	41.003498	-73.661322	10573

Hudson_Valley_Hospital_Center	A	41.291185	-73.893767	10567

I9_Sports	A	40.866933	-73.850487	10469

St_Casimir_School	A	40.935983	-73.892029	10701

BP	C	40.953881	-73.847364	10710

McLean_Deli_&_Food_Center	C	40.901873	-73.863077	10704

Stefanik_Park	B	40.936882	-73.885701	10701

Hillside_Delicatessen	B	40.95882	-73.737182	10543

Metro_by_T_Mobile_Authorized_Dealer	C	40.922121	-73.863041	10704

Sprint	C	40.867138	-73.825419	10475

Miller's_Hobbies_Inc	C	40.951629	-73.734981	10543

Manhattan_Driving_School	A	40.903525	-73.866301	10704

Port_Chester_Coach_Diner	B	40.994917	-73.672734	10573

Givans_Creek_Woods	B	40.879673	-73.830335	10475

Maver_Designs	C	40.941261	-73.746894	10543

Western_Union	C	40.86628	-73.829541	10475

Arabesque_Recordings	C	41.051322	-73.688144	10573

De_Biase_Brothers_Svce_Station	C	40.90158	-73.822313	10550

Nathan's_Famous	B	40.892255	-73.857744	10466

Patrick_McCauley_DMD	A	41.004569	-73.682828	10573

Madam_Hwang's_Wig	A	40.90964	-73.836176	10550

Cheetah_Fitness	B	40.937689	-73.899067	10701

T_Mobile_Store	C	40.876569	-73.846614	10469

CVS	A	40.90153	-73.826163	10550

7-Eleven	C	40.869286	-73.831689	10475

Lili_Kung_MD_Mamaroneck_Medical	A	40.959452	-73.736901	10543

Bronxville_Field_Club_Pro_Shop	C	40.930334	-73.82181	10552

Walgreens	A	40.886056	-73.861776	10466

Gem_Cuisines_of_China	B	40.961196	-73.840264	10710

Aimes_Medical	B	40.944854	-73.880766	10701

Dogtopia	B	40.991393	-73.670707	10573

TD_Bank	C	40.960827	-73.84056	10710

God_Tab_Church	A	40.889207	-73.836376	10466

Dunwoodie_Wines_&_Spirits	C	40.935448	-73.862207	10704

Empire_City_Tires_and_Service	C	40.919527	-73.843669	10550

Trinity_Episcopal_Church	A	40.903259	-73.833453	10550

Panka_Peruvian_Bistro	B	41.001883	-73.665983	10573

National_Collector's_Mint	B	40.996271	-73.667674	10573

Iso_Japanese_Cuisine	B	40.971798	-73.882083	10701

B_&_A_Automotive_Service_Center	D	40.952674	-73.736576	10543

Hudson_Park_South	C	40.935255	-73.90358	10701

Salvation_Army_Family_Store	C	41.001424	-73.662996	10573

Metro_North_Portchester	E	41.001981	-73.663771	10573

Royal_Caribbean_Bakery	E	40.907067	-73.835618	10550

Concourse_Cardiology_Assocs	A	40.892765	-73.854137	10466

Anthony_M_Del_Vecchio_Cortlandt	A	41.290884	-73.895456	10567

Incazteca	B	41.004524	-73.677454	10573

Shell_Oil	C	40.971851	-73.878924	10701

Fleetwood_Dental	A	40.926902	-73.834921	10552

S_&_A_Stores	C	40.933305	-73.897946	10701

Nymex_Towing	C	40.929975	-73.89584	10701

Western_Union	C	40.999438	-73.663851	10573

Zonya	B	40.907765	-73.847496	10550

DHL	C	40.874132	-73.836224	10469

Staples	C	40.901891	-73.823429	10550

Tombolino_Ristorante	B	40.913217	-73.857773	10704

Mount_Vernon_Fire_Alarm_Bureau	A	40.912355	-73.839099	10550

Soo_Jamaican_Caribbeans	B	40.891942	-73.858451	10466

Pimento_Caribbean_Restaurant	B	40.883882	-73.831898	10475

Alamo_Drafthouse_Cinema	A	40.982594	-73.824496	10710

Vernon's_Garage_Doors	A	40.920111	-73.832934	10552

Mount_St_Michael_Academy	A	40.899668	-73.842248	10466

Banister_Jill_Pyschotherapist	A	40.932226	-73.731203	10543

Handjobs	D	40.887113	-73.853838	10466

Venezia_Pizzeria	B	40.859949	-73.855196	10469

Douglas_O'Connell_LMT_Weekend_Warrior_Massage	B	41.329887	-73.879058	10567

Harbor_Family_Chiropractic	A	40.945113	-73.737321	10543

My_Place_Hair_Salon	B	40.874939	-73.858185	10469

Vikas_Agrawal	A	40.967231	-73.884899	10701

Bakers_Shoe_Store	C	40.93413	-73.899148	10704

Church_Of_St_Frances_Of_Rome	A	40.895278	-73.853405	10466

The_Home_Depot	C	40.861587	-73.83302	10469

MADE_My_Art_Design_Experience	C	40.948583	-73.733549	10543

InterCounty_Supply	A	40.997979	-73.674915	10573

GameStop	C	40.977976	-73.831484	10710

Le_Macaron	E	40.965387	-73.856544	10710

AYANT_Studios	A	40.911791	-73.847064	10550

Ehice	C	40.912847	-73.837671	10550

Smoke_Depot_Yonkers	C	40.923779	-73.85853	10704

130_America_Food_Center	C	40.905423	-73.840564	10550

New_Life_Rehoboth_Church_Inc	A	40.864493	-73.846949	10469

County_Coml_Towing	C	40.937077	-73.858684	10704

Warshay_Jeffrey_P_Dr	A	40.953351	-73.846242	10710

Foremost_Refinishers	D	40.941082	-73.883462	10701

Las_Brisas_Restaurante	B	41.002689	-73.667123	10573

East_Coast_Pain_Management_P_C	A	41.001978	-73.68171	10573

David's_Bridal	C	40.983867	-73.825708	10710

NY_Strong	B	40.951209	-73.734357	10543

Cupcake_Cutie_Boutique	E	40.910859	-73.839037	10550

Harbor_Island_Park	B	40.945616	-73.730952	10543

Jembro_Stores	C	40.991474	-73.673549	10573

McDonald's	B	40.91258	-73.837615	10550

Agape_Love_Christian_Center_Inc	A	40.865713	-73.857927	10469

La_Estacion_Latina	C	41.000209	-73.664155	10573

Kv_Hair	B	40.895821	-73.856583	10466

Wine_Messenger	C	40.947544	-73.745177	10543

Bark_&_Purr	C	40.934142	-73.903837	10701

Nail_City	B	40.970178	-73.836628	10704

Bank_of_America	C	40.939573	-73.74444	10543

Rock_Breaking	E	40.909375	-73.858558	10704

Ortho_Sync_Dentistry	A	40.94897	-73.738859	10543

Marvin_Frimmer_DDS	A	40.85981	-73.862066	10469

Enterprise_Rent-A-Car	C	41.302102	-73.881326	10567

Lion_King_Chinese_Restaurant	B	40.961228	-73.842125	10710

Rye_Ridge_Deli	B	41.002671	-73.682876	10573

Cortlandt_Car_Care	D	41.292071	-73.880911	10567

