category	latitude	longitude
ER	40.886983	-73.791762
K	40.945854	-73.795803
K	40.907194	-73.784578
ER	40.9266	-73.785711
SR	40.909284	-73.780458
R	40.94701	-73.795286
ST	40.988324	-73.80714
SR	40.912711	-73.77955
CC	40.97875	-73.80613
V	40.913877	-73.786534
R	40.989188	-73.806472
MF	40.980089	-73.809854
V	40.90527	-73.777
K	40.909822	-73.779781
K	40.922889	-73.78758
SR	40.906868	-73.784859
ST	40.910198	-73.78141
ST	40.904889	-73.786924
K	40.914921	-73.772502
ER	40.972857	-73.757838
ER	40.911935	-73.779552
V	40.923778	-73.791071
ST	40.922091	-73.764708
V	40.927917	-73.794262
ST	40.897928	-73.770752
G	40.909984	-73.796236
ST	40.891471	-73.820498
ST	40.927468	-73.752223
K	40.947431	-73.795276
M	40.923378	-73.775205
SR	40.929724	-73.763089
CC	40.968597	-73.80631
ER	40.983847	-73.759892
ST	40.98909	-73.807093
V	40.915435	-73.794096
K	40.911204	-73.780387
ER	40.987367	-73.765247
SR	40.915736	-73.808631
K	40.907477	-73.784412
V	40.995661	-73.80227
ST	40.958961	-73.77294
M	40.914345	-73.773555
CC	40.976864	-73.816822
ER	40.931467	-73.760821
R	40.91414	-73.807973
CC	40.969488	-73.806225
ER	40.915039	-73.807617
CC	41.006064	-73.811912
K	40.932935	-73.759403
ST	40.989946	-73.806839
M	40.916854	-73.780429
U	41.007254	-73.809858
M	40.929456	-73.751214
K	40.989542	-73.807614
K	40.895637	-73.778904
CC	40.912777	-73.809152
R	40.935393	-73.756322
K	40.977689	-73.806663
ER	40.977502	-73.778409
K	40.978166	-73.807432
K	40.910941	-73.810431
K	40.9873	-73.809825
SR	40.909776	-73.783442
ST	40.910576	-73.779927
K	40.908509	-73.784531
CC	40.978301	-73.786474
K	40.915846	-73.807576
SR	40.948292	-73.793317
CC	40.894491	-73.820831
SR	40.970942	-73.795379
CC	40.981379	-73.812036
ST	40.938931	-73.752033
SR	40.997314	-73.816096
K	40.977668	-73.806713
ER	41.004292	-73.788941
ST	40.893102	-73.819585
M	40.93168	-73.763272
K	40.990196	-73.80685
ST	40.926911	-73.75719
G	40.915046	-73.807617
ER	40.906054	-73.773669
SR	40.930413	-73.762049
ST	40.945984	-73.795234
V	40.90731	-73.777998
MF	40.912941	-73.809172
ST	40.895972	-73.794862
U	40.996526	-73.818192
K	40.893199	-73.819898
K	40.980317	-73.776583
SR	40.92291	-73.787375
K	40.890473	-73.818285
SR	40.930487	-73.762283
M	41.004281	-73.813185
ST	40.984897	-73.77775
R	40.987014	-73.810351
SR	40.931808	-73.759331
R	40.975964	-73.802456
K	40.948814	-73.792127
SR	40.902473	-73.791275
SR	40.993126	-73.821543
R	41.006652	-73.810183
ST	40.923144	-73.803908
K	40.916236	-73.785307
V	40.981738	-73.799306
K	40.907452	-73.78416
ST	40.913926	-73.77784
SR	40.976965	-73.803906
ER	40.920335	-73.804872
ST	40.930417	-73.762093
K	40.975083	-73.802234
CC	40.9209	-73.751424
K	40.969974	-73.805616
ST	40.914607	-73.77271
K	40.926118	-73.789134
K	40.987448	-73.809865
SR	40.930417	-73.762088
ST	40.932101	-73.759711
CC	41.004313	-73.8132
SR	40.922945	-73.762142
M	40.916156	-73.770309
SR	40.906876	-73.78088
SR	40.91983	-73.787087
ST	40.974668	-73.80389
ER	40.975057	-73.802165
SR	40.909667	-73.780103
CC	40.895415	-73.782537
M	40.938685	-73.746029
ST	40.928343	-73.751768
M	40.921315	-73.764705
ST	40.932117	-73.759647
CC	40.94048	-73.76083
SR	40.889484	-73.821997
SR	40.914195	-73.794429
V	40.903185	-73.789705
K	40.913335	-73.808374
CC	40.988019	-73.824919
CC	40.982158	-73.811893
R	40.916178	-73.806934
HH	40.930556	-73.762206
K	40.913746	-73.808233
M	40.915336	-73.80746
V	40.924839	-73.773064
ST	40.999252	-73.816311
K	40.910655	-73.780991
K	40.928566	-73.753114
ER	40.96998	-73.805692
U	40.933026	-73.76469
G	40.909853	-73.789564
R	40.923135	-73.788019
CC	40.970865	-73.804712
SR	40.913944	-73.777795
K	40.899091	-73.798457
ST	40.908037	-73.778326
SR	40.920125	-73.786215
ST	40.91718	-73.785161
K	40.895793	-73.805134
R	40.990698	-73.823115
ST	40.986396	-73.826648
ST	40.908644	-73.782484
ER	40.920174	-73.74972
V	40.90882	-73.781449
R	40.909669	-73.780856
ST	40.988846	-73.807602
U	40.987137	-73.808448
CC	40.988506	-73.808066
MF	40.977091	-73.804264
K	40.914632	-73.78439
K	40.990115	-73.808114
K	41.002981	-73.812835
CC	40.979077	-73.807488
ST	40.928071	-73.752248
ER	40.906427	-73.784969
ST	40.984412	-73.774814
K	40.928724	-73.751572
K	40.910428	-73.780894
K	40.975853	-73.802562
CC	40.988355	-73.807121
MF	40.908658	-73.787974
K	40.910614	-73.782397
ST	40.905954	-73.789877
ER	40.922849	-73.758147
SR	40.912724	-73.781722
K	40.908681	-73.783499
V	40.921946	-73.803452
CC	40.904678	-73.775152
WT	40.971968	-73.803827
CC	40.960643	-73.795208
K	40.946955	-73.795508
ER	40.906387	-73.773405
K	40.907895	-73.770773
ST	40.928398	-73.752788
K	40.9157	-73.784826
K	40.986593	-73.826362
ST	40.889785	-73.788601
ST	40.932452	-73.758378
ST	40.984815	-73.775001
R	40.976208	-73.802469
G	40.945999	-73.795196
M	40.933196	-73.759055
K	40.905103	-73.787691
CC	40.988271	-73.806652
ST	40.890505	-73.818293
CC	40.975888	-73.787833
M	40.912748	-73.779505
K	40.925276	-73.788733
CC	40.91356	-73.787871
V	40.991942	-73.795476
CC	40.989094	-73.807131
CC	40.9305	-73.762278
G	40.915167	-73.772089
CC	40.981292	-73.812952
M	40.906323	-73.78945
M	40.974608	-73.804372
V	40.996512	-73.803709
K	40.928461	-73.752911
K	40.917433	-73.785833
R	40.993799	-73.82255
ST	40.908328	-73.781918
V	40.916973	-73.793891
M	40.946766	-73.795344
R	40.91155	-73.783039
SR	40.915255	-73.807437
ST	40.936068	-73.797407
K	40.920543	-73.787237
K	40.992556	-73.822861
ST	40.909788	-73.780928
ST	40.914338	-73.77365
ST	40.893006	-73.819324
K	40.978426	-73.820643
CC	40.933181	-73.758237
K	40.921881	-73.773766
ER	40.931252	-73.766579
U	40.979878	-73.776324
ST	40.970896	-73.80679
CC	40.995354	-73.818101
K	40.935382	-73.759709
SR	40.920155	-73.764732
K	40.948597	-73.792342
M	41.007697	-73.810782
ER	40.97957	-73.764352
U	40.890428	-73.817482
ST	40.985669	-73.83413
G	40.911274	-73.796694
K	40.974568	-73.803824
V	40.898266	-73.770351
K	40.974621	-73.803901
G	40.988347	-73.809657
V	40.993001	-73.818449
ST	40.917185	-73.785837
V	40.90921	-73.779551
M	40.989276	-73.765837
ST	40.985711	-73.834607
ER	40.923609	-73.758946
V	40.911818	-73.812905
V	40.954522	-73.796519
SR	40.926738	-73.75206
K	40.988306	-73.808209
K	40.912429	-73.808853
V	40.910174	-73.778867
HH	40.908029	-73.770582
ER	40.917636	-73.776838
ER	40.909767	-73.805882
ST	40.970648	-73.807068
G	40.911508	-73.777837
ST	40.946837	-73.794315
U	40.915491	-73.784748
CC	40.9334	-73.752394
ST	40.891204	-73.821041
MF	40.988977	-73.807524
K	40.911121	-73.780988
K	40.907361	-73.784272
K	40.893626	-73.821013
SR	40.909147	-73.784056
ER	40.978413	-73.806696
M	40.988773	-73.824666
SR	40.916656	-73.786557
ST	40.907057	-73.784011
CC	40.988029	-73.824912
ST	40.992284	-73.822939
K	40.908344	-73.78312
ER	40.910413	-73.779623
V	40.967483	-73.76789
ER	40.898575	-73.81687
ER	40.912477	-73.781307
K	40.912946	-73.776549
M	40.912865	-73.779651
M	40.990045	-73.806315
CC	40.913402	-73.786207
CC	40.913096	-73.790653
K	40.932235	-73.759653
ST	40.915844	-73.782765
V	40.929888	-73.754535
K	40.930991	-73.761501
K	40.90666	-73.777612
K	40.903603	-73.789156
CC	40.988929	-73.806481
ER	40.980067	-73.761285
ST	40.986404	-73.826508
ST	40.90657	-73.811559
V	40.918338	-73.79467
K	40.985896	-73.810169
ST	40.946924	-73.795261
ST	40.899095	-73.800183
K	40.912319	-73.808932
K	40.908604	-73.779419
K	40.897177	-73.777636
CC	41.00536	-73.812476
M	40.929458	-73.751207
M	40.890585	-73.818097
K	40.923636	-73.787921
CC	40.932843	-73.761819
U	40.896442	-73.804172
K	40.908987	-73.795867
K	40.908032	-73.782126
K	40.916982	-73.785644
CC	40.931761	-73.760123
K	40.928453	-73.752894
CC	40.935342	-73.755883
M	40.98963	-73.807567
ST	40.979559	-73.801451
M	40.986777	-73.808439
ER	40.928938	-73.762954
ST	40.893083	-73.819657
SR	40.977567	-73.804649
CC	40.979023	-73.807491
ER	40.969424	-73.761238
R	40.921814	-73.774271
R	40.970845	-73.804716
SR	40.9096	-73.794224
G	40.91552	-73.785131
CC	40.916514	-73.78559
K	40.928371	-73.752791
R	40.971916	-73.805583
K	40.903411	-73.789404
V	40.980078	-73.816584
K	40.922724	-73.788339
SR	40.913866	-73.775331
K	40.928605	-73.764999
CC	40.988309	-73.80711
HH	40.911648	-73.78396
M	40.921859	-73.774013
SR	40.911643	-73.783982
ST	40.909559	-73.781077
ST	40.913103	-73.790661
V	40.91458	-73.798955
ST	40.907682	-73.779315
CC	40.987905	-73.772338
U	40.910553	-73.792299
ST	40.893863	-73.820281
CC	40.902095	-73.811756
V	40.992684	-73.800553
CC	40.913948	-73.777835
ST	40.989924	-73.806827
SR	40.919682	-73.765181
ST	41.000116	-73.814716
K	40.912773	-73.783124
U	40.924171	-73.787515
K	40.895823	-73.80516
ER	40.9301	-73.772151
MF	40.987816	-73.809824
ST	40.915854	-73.807635
V	40.920059	-73.787167
ST	40.922928	-73.787567
U	40.901817	-73.79281
MF	40.927868	-73.75199
SR	40.906107	-73.785447
ST	40.902785	-73.789366
ER	40.915053	-73.807607
CC	40.911751	-73.788019
K	40.918904	-73.786772
K	40.906014	-73.785601
R	40.907018	-73.811589
K	40.988172	-73.808211
ST	40.908536	-73.784469
SR	40.980478	-73.819662
K	40.911227	-73.780844
R	40.994867	-73.818563
ER	40.930891	-73.761684
ST	41.009327	-73.828191
ST	41.007424	-73.809836
K	40.931451	-73.760587
ST	40.923529	-73.761125
V	40.991803	-73.803323
ST	40.908239	-73.783034
CC	40.986944	-73.824025
CC	40.909596	-73.780155
ST	40.989271	-73.807074
CC	40.988031	-73.82494
V	40.921973	-73.799687
K	40.923199	-73.787978
CC	40.98804	-73.824926
SR	40.916685	-73.80732
CC	41.005351	-73.812493
V	40.956811	-73.791082
SR	40.927003	-73.752986
ER	40.89628	-73.790748
M	40.91904	-73.788532
K	40.914436	-73.773304
K	40.908934	-73.784276
M	40.989251	-73.806294
CC	40.912474	-73.790509
SR	40.889892	-73.817968
ST	40.9078	-73.779226
CC	40.909431	-73.811042
ST	41.00903	-73.809665
K	40.927363	-73.789702
G	40.984403	-73.777663
G	40.909456	-73.794908
G	40.911502	-73.779043
R	40.910316	-73.78079
V	40.921147	-73.799402
SR	40.908621	-73.793972
CC	40.912996	-73.780343
ER	40.913548	-73.765528
K	40.987128	-73.810248
ST	40.89412	-73.817818
ST	40.907724	-73.779377
V	41.010936	-73.793113
M	40.983885	-73.779172
CC	40.909387	-73.779951
ST	40.909801	-73.782593
K	40.908646	-73.783027
ER	41.010738	-73.820144
K	40.910621	-73.781011
ER	40.975926	-73.800517
CC	40.932821	-73.761854
ER	40.977053	-73.80446
SR	40.916037	-73.807505
ST	40.990186	-73.806729
K	41.007795	-73.810738
K	40.989062	-73.808844
G	40.987128	-73.80981
M	40.994821	-73.829454
K	40.914265	-73.793775
ER	40.98484	-73.775012
R	40.931223	-73.761787
CC	40.93083	-73.761692
ER	41.009263	-73.809525
K	40.984383	-73.777019
ST	40.921952	-73.772555
ST	41.010061	-73.80876
ST	40.97604	-73.803487
U	40.996523	-73.818194
K	40.919726	-73.804642
SR	41.004269	-73.813221
K	40.915813	-73.770814
ST	40.932135	-73.757714
ST	40.951679	-73.769694
K	40.911354	-73.780318
M	40.970859	-73.804703
V	40.91651	-73.790781
CC	40.893387	-73.784632
